id,title,rating,reviews,typeLocation,link
d11962134,Brilliant Top Bar,4.9,1366,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d11962134-Reviews-Brilliant_Top_Bar-Da_Nang.html
d8115500,DHC Marina,3.8,204,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d8115500-Reviews-DHC_Marina-Da_Nang.html
d23169144,Khách sạn Radisson Đà Nẵng,4.8,1144,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d23169144-Reviews-Radisson_Hotel_Danang-Da_Nang.html?
d24982748,Ăn Thôi Đà Nẵng,4.9,985,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d24982748-Reviews-An_Thoi_Da_Nang-Da_Nang.html
d6161470,Fivitel Boutique Da Nang,4.5,408,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6161470-Reviews-Fivitel_Boutique_Da_Nang-Da_Nang.html?
d8291301,Asia Park,4.1,759,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d8291301-Reviews-Asia_Park-Da_Nang.html
d6533098,Khách sạn A La Carte,4.4,2271,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d6533098-Reviews-A_La_Carte_Da_Nang_Beach-Da_Nang.html?
d12639177,3D Museum Art in Paradise Danang,4.7,338,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d12639177-Reviews-3D_Museum_Art_in_Paradise_Danang-Da_Nang.html
d12882219,Cơm Nhà Linh,4.6,231,Restaurant,https://www.tripadvisor.com/Restaurant_Review-g298085-d12882219-Reviews-Com_Nha_Linh_Vietnamese_cuisine-Da_Nang.html
d454979,Bảo tàng điêu khắc Chăm thành phố Đà Nẵng,3.9,1554,Attraction,https://www.tripadvisor.com/Attraction_Review-g298085-d454979-Reviews-Da_Nang_Museum_of_Cham_Sculpture-Da_Nang.html
d1575735,Khách sạn One Opera Đà Nẵng,4.5,211,Hotel,https://www.tripadvisor.com/Hotel_Review-g298085-d1575735-Reviews-One_Opera_Danang_Hotel-Da_Nang.html?
